id,creature_id,name,text,sort_order
1,1,Amphibious,The aboleth can breathe air and water.,0
2,1,Mucous Cloud,"While underwater, the aboleth is surrounded by transformative mucus. A creature that touches the aboleth or that hits it with a melee attack while within 5 feet of it must make a DC 14 Constitution saving throw. On a failure, the creature is diseased for 1d4 hours. The diseased creature can breathe only underwater.",1
3,1,Probing Telepathy,"If a creature communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires if the aboleth can see the creature.",2
4,3,Amphibious,The dragon can breathe air and water.,0
5,3,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",1
6,4,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0
7,5,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0
8,6,Amphibious,The dragon can breathe air and water.,0
9,6,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",1
10,7,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0
11,8,Amphibious,The dragon can breathe air and water.,0
12,8,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",1
13,9,Amphibious,The dragon can breathe air and water.,0
14,9,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",1
15,10,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0
16,11,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0
17,12,Ice Walk,"The dragon can move across and climb icy surfaces without needing to make an ability check. Additionally, 3 composed of ice or snow doesn't cost it extra movement.",0
18,12,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",1
19,13,Air Form,The elemental can enter a hostile creature's space and stop there. It can move through a space as narrow as 1 inch wide without squeezing.,0
20,14,Amphibious,The dragon can breathe air and water.,0
21,14,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",1
22,15,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0
23,16,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0
24,17,Amphibious,The dragon can breathe air and water.,0
25,17,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",1
26,18,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0
27,19,Amphibious,The dragon can breathe air and water.,0
28,19,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",1
29,20,Amphibious,The dragon can breathe air and water.,0
30,20,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",1
31,21,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0
32,22,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0
33,23,Ice Walk,"The dragon can move across and climb icy surfaces without needing to make an ability check. Additionally, 3 composed of ice or snow doesn't cost it extra movement.",0
34,23,Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",1
35,24,Inscrutable,"The sphinx is immune to any effect that would sense its emotions or read its thoughts, as well as any divination spell that it refuses. Wisdom (Insight) checks made to ascertain the sphinx's intentions or sincerity have disadvantage.",0
36,24,Magic Weapons,The sphinx's weapon attacks are magical.,1
37,25,Antimagic Susceptibility,"The armor is incapacitated while in the area of an antimagic field. If targeted by dispel magic, the armor must succeed on a Constitution saving throw against the caster's spell save DC or fall unconscious for 1 minute.",0
38,25,False Appearance,"While the armor remains motionless, it is indistinguishable from a normal suit of armor.",1
39,28,Magic Resistance,The archmage has advantage on saving throws against spells and other magical effects.,0
40,29,Assassinate,"During its first turn, the assassin has advantage on attack rolls against any creature that hasn't taken a turn. Any hit the assassin scores against a surprised creature is a critical hit.",0
41,29,Evasion,"If the assassin is subjected to an effect that allows it to make a Dexterity saving throw to take only half damage, the assassin instead takes no damage if it succeeds on the saving throw, and only half damage if it fails.",1
42,29,Sneak Attack (1/Turn),"The assassin deals an extra 14 (4d6) damage when it hits a target with a weapon attack and has advantage on the attack roll, or when the target is within 5 feet of an ally of the assassin that isn't incapacitated and the assassin doesn't have disadvantage on the attack roll.",2
43,30,False Appearance,"While the shrub remains motionless, it is indistinguishable from a normal shrub.",0
44,31,False Appearance,"While the tree remains motionless, it is indistinguishable from a normal tree.",0
45,33,Heated Body,A creature that touches the azer or hits it with a melee attack while within 5 feet of it takes 5 (1d10) fire damage.,0
46,33,Heated Weapons,"When the azer hits with a metal melee weapon, it deals an extra 3 (1d6) fire damage (included in the attack).",1
47,33,Illumination,The azer sheds bright light in a 10-foot radius and dim light for an additional 10 feet.,2
48,34,Pack Tactics,The baboon has advantage on an attack roll against a creature if at least one of the baboon's allies is within 5 feet of the creature and the ally isn't incapacitated.,0
49,35,Keen Smell,The badger has advantage on Wisdom (Perception) checks that rely on smell.,0
50,36,Death Throes,"When the balor dies, it explodes, and each creature within 30 feet of it must make a DC 20 Dexterity saving throw, taking 70 (20d6) fire damage on a failed save, or half as much damage on a successful one. The explosion ignites flammable objects in that area that aren't being worn or carried, and it destroys the balor's weapons.",0
51,36,Fire Aura,"At the start of each of the balor's turns, each creature within 5 feet of it takes 10 (3d6) fire damage, and flammable objects in the aura that aren't being worn or carried ignite. A creature that touches the balor or hits it with a melee attack while within 5 feet of it takes 10 (3d6) fire damage.",1
52,36,Magic Resistance,The balor has advantage on saving throws against spells and other magical effects.,2
53,36,Magic Weapons,The balor's weapon attacks are magical.,3
54,39,Barbed Hide,"At the start of each of its turns, the barbed devil deals 5 (1d10) piercing damage to any creature grappling it.",0
55,39,Devil's Sight,Magical darkness doesn't impede the devil's darkvision.,1
56,39,Magic Resistance,The devil has advantage on saving throws against spells and other magical effects.,2
57,40,Petrifying Gaze,"If a creature starts its turn within 30 feet of the basilisk and the two of them can see each other, the basilisk can force the creature to make a DC 12 Constitution saving throw if the basilisk isn't incapacitated. On a failed save, the creature magically begins to turn to stone and is restrained. It must repeat the saving throw at the end of its next turn. On a success, the effect ends. On a failure, the creature is petrified until freed by the  greater restoration spell or other magic.
A creature that isn't surprised can avert its eyes to avoid the saving throw at the start of its turn. If it does so, it can't see the basilisk until the start of its next turn, when it can avert its eyes again. If it looks at the basilisk in the meantime, it must immediately make the save.
If the basilisk sees its reflection within 30 feet of it in bright light, it mistakes itself for a rival and targets itself with its gaze.",0
58,41,Echolocation,The bat can't use its blindsight while deafened.,0
59,41,Keen Hearing,The bat has advantage on Wisdom (Perception) checks that rely on hearing.,1
60,42,Devil's Sight,Magical darkness doesn't impede the devil's darkvision.,0
61,42,Magic Resistance,The devil has advantage on saving throws against spells and other magical effects.,1
62,42,Steadfast,The devil can't be frightened while it can see an allied creature within 30 feet of it.,2
63,44,Reckless,"At the start of its turn, the berserker can gain advantage on all melee weapon attack rolls during that turn, but attack rolls against it have advantage until the start of its next turn.",0
64,45,Keen Smell,The bear has advantage on Wisdom (Perception) checks that rely on smell.,0
65,46,Amphibious,The dragon can breathe air and water.,0
66,47,Amorphous,The pudding can move through a space as narrow as 1 inch wide without squeezing.,0
67,47,Corrosive Form,"A creature that touches the pudding or hits it with a melee attack while within 5 feet of it takes 4 (1d8) acid damage. Any nonmagical weapon made of metal or wood that hits the pudding corrodes. After dealing damage, the weapon takes a permanent and cumulative −1 penalty to damage rolls. If its penalty drops to −5, the weapon is destroyed. Nonmagical ammunition made of metal or wood that hits the pudding is destroyed after dealing damage. The pudding can eat through 2-inch-thick, nonmagical wood or metal in 1 round.",1
68,47,Spider Climb,"The pudding can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.",2
69,48,Keen Hearing and Smell,The dog has advantage on Wisdom (Perception) checks that rely on hearing or smell.,0
70,49,Keen Sight,The hawk has advantage on Wisdom (Perception) checks that rely on sight.,0
71,49,Pack Tactics,The hawk has advantage on an attack roll against a creature if at least one of the hawk's allies is within 5 feet of the creature and the ally isn't incapacitated.,1
72,51,Charge,"If the boar moves at least 20 feet straight toward a target and then hits it with a tusk attack on the same turn, the target takes an extra 3 (1d6) slashing damage. If the target is a creature, it must succeed on a DC 11 Strength saving throw or be knocked prone.",0
73,51,Relentless (Recharges after a Short or Long Rest),"If the boar takes 7 damage or less that would reduce it to 0 hit points, it is reduced to 1 hit point instead.",1
74,52,Devil's Sight,Magical darkness doesn't impede the devil's darkvision.,0
75,52,Magic Resistance,The devil has advantage on saving throws against spells and other magical effects.,1
76,54,Amphibious,The dragon can breathe air and water.,0
77,55,Keen Smell,The bear has advantage on Wisdom (Perception) checks that rely on smell.,0
78,56,Brute,A melee weapon deals one extra die of its damage when the bugbear hits with it (included in the attack).,0
79,56,Surprise Attack,"If the bugbear surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 7 (2d6) damage from the attack.",1
80,57,Standing Leap,"The bulette's long jump is up to 30 feet and its high jump is up to 15 feet, with or without a running start.",0
81,59,Keen Smell,The cat has advantage on Wisdom (Perception) checks that rely on smell.,0
82,60,Charge,"If the centaur moves at least 30 feet straight toward a target and then hits it with a pike attack on the same turn, the target takes an extra 10 (3d6) piercing damage.",0
83,61,Devil's Sight,Magical darkness doesn't impede the devil's darkvision.,0
84,61,Magic Resistance,The devil has advantage on saving throws against spells and other magical effects.,1
85,63,Amphibious,The chuul can breathe air and water.,0
86,63,Sense Magic,The chuul senses magic within 120 feet of it at will. This trait otherwise works like the detect magic spell but isn't itself magical.,1
87,64,Acid Absorption,"Whenever the golem is subjected to acid damage, it takes no damage and instead regains a number of hit points equal to the acid damage dealt.",0
88,64,Berserk,"Whenever the golem starts its turn with 60 hit points or fewer, roll a d6. On a 6, the golem goes berserk. On each of its turns while berserk, the golem attacks the nearest creature it can see. If no creature is near enough to move to and attack, the golem attacks an object, with preference for an object smaller than itself. Once the golem goes berserk, it continues to do so until it is destroyed or regains all its hit points.",1
89,64,Immutable Form,The golem is immune to any spell or effect that would alter its form.,2
90,64,Magic Resistance,The golem has advantage on saving throws against spells and other magical effects.,3
91,64,Magic Weapons,The golem's weapon attacks are magical.,4
92,65,Damage Transfer,"While attached to a creature, the cloaker takes only half the damage dealt to it (rounded down). and that creature takes the other half.",0
93,65,False Appearance,"While the cloaker remains motionless without its underside exposed, it is indistinguishable from a dark leather cloak.",1
94,65,Light Sensitivity,"While in bright light, the cloaker has disadvantage on attack rolls and Wisdom (Perception) checks that rely on sight.",2
95,66,Keen Smell,The giant has advantage on Wisdom (Perception) checks that rely on smell.,0
96,71,Magic Weapons,The couatl's weapon attacks are magical.,0
97,71,Shielded Mind,"The couatl is immune to scrying and to any effect that would sense its emotions, read its thoughts, or detect its location.",1
98,72,Amphibious,The crab can breathe air and water.,0
99,73,Hold Breath,The crocodile can hold its breath for 15 minutes.,0
100,74,Dark Devotion,The fanatic has advantage on saving throws against being charmed or frightened.,0
101,75,Dark Devotion,The cultist has advantage on saving throws against being charmed or frightened.,0
102,76,Echolocation,The darkmantle can't use its blindsight while deafened.,0
103,76,False Appearance,"While the darkmantle remains motionless, it is indistinguishable from a cave formation such as a stalactite or stalagmite.",1
104,77,Two-Headed,"The dog has advantage on Wisdom (Perception) checks and on saving throws against being blinded, charmed, deafened, frightened, stunned, or knocked unconscious.",0
105,78,Stone Camouflage,The gnome has advantage on Dexterity (Stealth) checks made to hide in rocky terrain.,0
106,78,Gnome Cunning,"The gnome has advantage on Intelligence, Wisdom, and Charisma saving throws against magic.",1
107,80,Angelic Weapons,"The deva's weapon attacks are magical. When the deva hits with any weapon, the weapon deals an extra 4d8 radiant damage (included in the attack).",0
108,80,Magic Resistance,The deva has advantage on saving throws against spells and other magical effects.,1
109,81,Keen Hearing and Smell,The wolf has advantage on Wisdom (Perception) checks that rely on hearing or smell.,0
110,81,Pack Tactics,The wolf has advantage on an attack roll against a creature if at least one of the wolf's allies is within 5 feet of the creature and the ally isn't incapacitated.,1
111,82,Elemental Demise,"If the djinni dies, its body disintegrates into a warm breeze, leaving behind only equipment the djinni was wearing or carrying.",0
112,83,Shapechanger,"The doppelganger can use its action to polymorph into a Small or Medium humanoid it has seen, or back into its true form. Its statistics, other than its size, are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.",0
113,83,Ambusher,"In the first round of a combat, the doppelganger has advantage on attack rolls against any creature it surprised.",1
114,83,Surprise Attack,"If the doppelganger surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 10 (3d6) damage from the attack.",2
115,85,Amphibious,The dragon turtle can breathe air and water.,0
116,87,Fey Ancestry,"The drider has advantage on saving throws against being charmed, and magic can't put the drider to sleep.",0
117,87,Spider Climb,"The drider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.",1
118,87,Sunlight Sensitivity,"While in sunlight, the drider has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.",2
119,87,Web Walker,The drider ignores movement restrictions caused by webbing.,3
120,88,Fey Ancestry,"The drow has advantage on saving throws against being charmed, and magic can't put the drow to sleep.",0
121,88,Sunlight Sensitivity,"While in sunlight, the drow has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.",1
122,90,Magic Resistance,The dryad has advantage on saving throws against spells and other magical effects.,0
123,90,Speak with Beasts and Plants,The dryad can communicate with beasts and plants as if they shared a language.,1
124,90,Tree Stride,"Once on her turn, the dryad can use 10 feet of her movement to step magically into one living tree within her reach and emerge from a second living tree within 60 feet of the first tree, appearing in an unoccupied space within 5 feet of the second tree. Both trees must be large or bigger.",2
125,91,Duergar Resilience,"The duergar has advantage on saving throws against poison, spells, and illusions, as well as to resist being charmed or paralyzed.",0
126,91,Sunlight Sensitivity,"While in sunlight, the duergar has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.",1
127,92,Death Burst,"When the mephit dies, it explodes in a burst of dust. Each creature within 5 feet of it must then succeed on a DC 10 Constitution saving throw or be blinded for 1 minute. A blinded creature can repeat the saving throw on each of its turns, ending the effect on itself on a success.",0
128,93,Keen Sight,The eagle has advantage on Wisdom (Perception) checks that rely on sight.,0
129,94,Earth Glide,"The elemental can burrow through nonmagical, unworked earth and stone. While doing so, the elemental doesn't disturb the material it moves through.",0
130,94,Siege Monster,The elemental deals double damage to objects and structures.,1
131,95,Elemental Demise,"If the efreeti dies, its body disintegrates in a flash of fire and puff of smoke, leaving behind only equipment the efreeti was wearing or carrying.",0
132,96,Trampling Charge,"If the elephant moves at least 20 feet straight toward a creature and then hits it with a gore attack on the same turn, that target must succeed on a DC 12 Strength saving throw or be knocked prone. If the target is prone, the elephant can make one stomp attack against it as a bonus action.",0
133,97,Charge,"If the elk moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 7 (2d6) damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.",0
134,98,Hellish Weapons,The erinyes's weapon attacks are magical and deal an extra 13 (3d8) poison damage on a hit (included in the attacks).,0
135,98,Magic Resistance,The erinyes has advantage on saving throws against spells and other magical effects.,1
136,99,Spider Climb,"The ettercap can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.",0
137,99,Web Sense,"While in contact with a web, the ettercap knows the exact location of any other creature in contact with the same web.",1
138,99,Web Walker,The ettercap ignores movement restrictions caused by webbing.,2
139,100,Two Heads,"The ettin has advantage on Wisdom (Perception) checks and on saving throws against being blinded, charmed, deafened, frightened, stunned, and knocked unconscious.",0
140,100,Wakeful,"When one of the ettin's heads is asleep, its other head is awake.",1
141,101,Fire Form,"The elemental can move through a space as narrow as 1 inch wide without squeezing. A creature that touches the elemental or hits it with a melee attack while within 5 feet of it takes 5 (1d10) fire damage. In addition, the elemental can enter a hostile creature's space and stop there. The first time it enters a creature's space on a turn, that creature takes 5 (1d10) fire damage and catches fire; until someone takes an action to douse the fire, the creature takes 5 (1d10) fire damage at the start of each of its turns.",0
142,101,Illumination,The elemental sheds bright light in a 30-foot radius and dim light in an additional 30 feet.,1
143,101,Water Susceptibility,"For every 5 feet the elemental moves in water, or for every gallon of water splashed on it, it takes 1 cold damage.",2
144,103,Berserk,"Whenever the golem starts its turn with 40 hit points or fewer, roll a d6. On a 6, the golem goes berserk. On each of its turns while berserk, the golem attacks the nearest creature it can see. If no creature is near enough to move to and attack, the golem attacks an object, with preference for an object smaller than itself. Once the golem goes berserk, it continues to do so until it is destroyed or regains all its hit points.
The golem's creator, if within 60 feet of the berserk golem, can try to calm it by speaking firmly and persuasively. The golem must be able to hear its creator, who must take an action to make a DC 15 Charisma (Persuasion) check. If the check succeeds, the golem ceases being berserk. If it takes damage while still at 40 hit points or fewer, the golem might go berserk again.",0
145,103,Aversion of Fire,"If the golem takes fire damage, it has disadvantage on attack rolls and ability checks until the end of its next turn.",1
146,103,Immutable Form,The golem is immune to any spell or effect that would alter its form.,2
147,103,Lightning Absorption,"Whenever the golem is subjected to lightning damage, it takes no damage and instead regains a number of hit points equal to the lightning damage dealt.",3
148,103,Magic Resistance,The golem has advantage on saving throws against spells and other magical effects.,4
149,103,Magic Weapons,The golem's weapon attacks are magical.,5
150,104,Flyby,The snake doesn't provoke opportunity attacks when it flies out of an enemy's reach.,0
151,105,Antimagic Susceptibility,"The sword is incapacitated while in the area of an antimagic field. If targeted by dispel magic, the sword must succeed on a Constitution saving throw against the caster's spell save DC or fall unconscious for 1 minute.",0
152,105,False Appearance,"While the sword remains motionless and isn't flying, it is indistinguishable from a normal sword.",1
153,106,Amphibious,The frog can breathe air and water.,0
154,106,Standing Leap,"The frog's long jump is up to 10 feet and its high jump is up to 5 feet, with or without a running start.",1
155,108,False Appearance,"While the gargoyle remains motionless, it is indistinguishable from an inanimate statue.",0
156,109,Ooze Cube,"The cube takes up its entire space. Other creatures can enter the space, but a creature that does so is subjected to the cube's Engulf and has disadvantage on the saving throw.
Creatures inside the cube can be seen but have total cover.
A creature within 5 feet of the cube can take an action to pull a creature or object out of the cube. Doing so requires a successful DC 12 Strength check, and the creature making the attempt takes 10 (3d6) acid damage.
The cube can hold only one Large creature or up to four Medium or smaller creatures inside it at a time.",0
157,109,Transparent,"Even when the cube is in plain sight, it takes a successful DC 15 Wisdom (Perception) check to spot a cube that has neither moved nor attacked. A creature that tries to enter the cube's space while unaware of the cube is surprised by the cube.",1
158,110,Stench,"Any creature that starts its turn within 5 feet of the ghast must succeed on a DC 10 Constitution saving throw or be poisoned until the start of its next turn. On a successful saving throw, the creature is immune to the ghast's Stench for 24 hours.",0
